city_name,country,city_lat,city_lon,population,max_temp_raw,max_temp,cell_idx,time_idx,timestamp,lat,lon,continent
Kalima,Congo (Kinshasa),-2.5095768,26.430004,194,306.72564697265625,33.57564697265627,3482583,291,1950-02-06T12:00:00.000000000,-2.5659050941467285,26.466346740722656,Africa
Sampit,Indonesia,-2.5329346,112.9500459,92710,306.7236633300781,33.57366333007815,3478788,5025,1951-09-21T06:00:00.000000000,-2.4956061840057373,112.98638916015624,Asia
Corriverton,Guyana,5.9000391,-57.1699836,12000,306.7229309082031,33.57293090820315,2886402,8116,1952-10-11T15:00:00.000000000,5.8699469566345215,302.8975830078125,South America
Jinotega,Nicaragua,13.091004,-86.0000036,51073,306.7226257324219,33.5726257324219,2416709,3653,1951-04-02T18:00:00.000000000,13.04042148590088,273.93084716796875,North America
Grevenmacher,Luxembourg,49.67975296258291,6.425599376387133,3958,306.7211303710937,33.57113037109377,667013,25020,1958-07-25T15:00:00.000000000,49.66608047485352,6.384083271026611,Europe
Cojutepeque,El Salvador,13.716702,-88.9333016,48411,306.7159729003906,33.56597290039065,2372904,44526,1965-03-28T21:00:00.000000000,13.743409156799316,271.0743713378906,North America
Caluula,Somalia,11.9669556,50.7500183,513,306.7081604003906,33.55816040039065,2484809,1730,1950-08-05T09:00:00.000000000,11.915640830993652,50.77130126953125,Africa
Saint-Georges,France,3.9104706,-51.8100007,2742,306.7024841308594,33.5524841308594,3022592,5101,1951-09-30T18:00:00.000000000,3.901581764221192,308.1529846191406,Europe
Dembi Dolo,Ethiopia,8.5337285,34.7999841,27780,306.6979675292969,33.5479675292969,2707875,56083,1969-03-12T12:00:00.000000000,8.471001625061035,34.87113571166992,Africa
Chiradzulu,Malawi,-15.7,35.1833333,1580,306.6971740722656,33.54717407226565,4342323,17067,1955-11-04T12:00:00.000000000,-15.641475677490234,35.169490814208984,Africa
Asmara,Eritrea,15.3333393,38.9333235,620802,306.6956481933594,33.5456481933594,2266742,45114,1965-06-10T09:00:00.000000000,15.430580139160156,39.04225540161133,Africa
Caratinga,Brazil,-19.7900207,-42.1399966,60066,306.6938171386719,33.5438171386719,4589238,16965,1955-10-22T18:00:00.000000000,-19.78910255432129,317.8265075683594,South America
San Pedro de Macorís,Dominican Republic,18.4503583,-69.2999667,217899,306.6881408691406,33.53814086914065,2086097,48765,1966-09-09T18:00:00.000000000,18.523725509643555,290.6268310546875,North America
Caxias do Sul,Brazil,-29.1799902,-51.1700397,381270,306.68670654296875,33.53670654296877,5094115,660,1950-03-24T15:00:00.000000000,-29.279436111450195,308.8824768066406,South America
Roslavl,Russia,53.9509046,32.8604126,56971,306.6851501464844,33.5351501464844,535761,19291,1956-08-08T12:00:00.000000000,53.88400650024414,32.83783721923828,Europe
Alappuzha,India,9.5004136,76.3700048,176783,306.6832580566406,33.53325805664065,2639040,761,1950-04-06T06:00:00.000000000,9.525483131408691,76.44908905029297,Asia
Białystok,Poland,53.13169570980265,23.182319226878395,291855,306.6826477050781,33.53264770507815,556608,10451,1953-07-30T12:00:00.000000000,53.1810188293457,23.18181800842285,Europe
Chemnitz,Germany,50.8299839,12.919976,302643,306.6788330078125,33.52883300781252,626120,1715,1950-08-03T12:00:00.000000000,50.93145751953125,12.857142448425291,Europe
Contamana,Peru,-7.3400313,-75.0199793,18921,306.67822265625,33.52822265625002,3816297,2173,1950-09-29T18:00:00.000000000,-7.346221446990967,285.0254211425781,South America
Longyan,China,25.073515108609563,116.99504789877176,367896,306.6649780273437,33.51497802734377,1721679,57129,1969-07-21T06:00:00.000000000,25.06151008605957,117.05818939208984,Asia
Itajaí,Brazil,-26.8996126,-48.6800108,327126,306.6630249023437,33.51302490234377,4981032,23412,1958-01-05T15:00:00.000000000,-27.02987670898437,311.20001220703125,South America
Ihosy,Madagascar,-22.3996289,46.1166577,16990,306.65386962890625,33.50386962890627,4731971,17059,1955-11-03T12:00:00.000000000,-22.39015769958496,46.118011474609375,Africa
Golmud,China,36.416626,94.8833451,107092,306.6533203125,33.50332031250002,1172748,45458,1965-07-23T09:00:00.000000000,36.44991302490234,94.93472290039062,Asia
Cruzeiro do Sul,Brazil,-7.6299878,-72.6699677,56862,306.65093994140625,33.50093994140627,3839872,10733,1953-09-03T18:00:00.000000000,-7.6977152824401855,287.3872375488281,South America
Rostock,Germany,54.0703805,12.1499971,203080,306.64727783203125,33.49727783203127,533573,19251,1956-08-03T12:00:00.000000000,53.95430374145508,12.011605262756348,Europe
Xining,China,36.6219445,101.768059,1048000,306.64227294921875,33.49227294921877,1169747,22002,1957-07-13T09:00:00.000000000,36.52021026611328,102.0,Asia
Itanhaem,Brazil,-24.1799853,-46.8000222,90385,306.64166259765625,33.49166259765627,4830150,25181,1958-08-14T18:00:00.000000000,-24.14762687683105,313.13494873046875,South America
Mékambo,Gabon,1.0170813,13.9332991,3170,306.6398620605469,33.4898620605469,3223417,387,1950-02-18T12:00:00.000000000,1.0193321704864502,13.9606294631958,Africa
Mistassini,Canada,50.4170634,-73.8665872,2645,306.63983154296875,33.48983154296877,643606,33861,1961-08-03T18:00:00.000000000,50.43936538696289,286.03173828125,North America
Usti Nad Labem,Czechia,50.6629982,14.0810046,94105,306.6376647949219,33.4876647949219,635112,19323,1956-08-12T12:00:00.000000000,50.65026092529297,14.042552947998049,Europe
Gießen,Germany,50.5837199,8.650004,82358,306.6368408203125,33.48684082031252,637335,19316,1956-08-11T15:00:00.000000000,50.57996368408203,8.761061668395996,Europe
Saint-Laurent-du-Maroni,France,5.4976241,-54.0325346,24287,306.6273193359375,33.47731933593752,2915348,54933,1968-10-19T18:00:00.000000000,5.448154449462891,306.0149230957031,Europe
Govorovo,Russia,70.2113591,125.9932808,943,306.6255187988281,33.47551879882815,162239,1577,1950-07-17T06:00:00.000000000,70.26361846923828,126.0,Europe
Megion,Russia,61.0607548,76.0953446,48691,306.624755859375,33.47475585937502,345592,57081,1969-07-15T06:00:00.000000000,61.05447769165039,76.15384674072266,Europe
Lorient,France,47.7504045,-3.3665752,84952,306.6243896484375,33.47438964843752,733198,39835,1963-08-20T12:00:00.000000000,47.76801300048828,356.7272644042969,Europe
Elbląg,Poland,54.15391939807562,19.40319282719829,127558,306.62384033203125,33.47384033203127,531550,19267,1956-08-05T12:00:00.000000000,54.02460479736328,19.1860466003418,Europe
Dibaya,Congo (Kinshasa),-6.5095394,22.8700146,603,306.6219177246094,33.4719177246094,3755911,10451,1953-07-30T12:00:00.000000000,-6.502635955810547,22.877517700195312,Africa
Obninsk,Russia,55.080448,36.620028,107392,306.6207580566406,33.47075805664065,501165,19291,1956-08-08T12:00:00.000000000,55.07908630371094,36.82634735107422,Europe
Senmonorom,Cambodia,12.4499971,107.1999997,7944,306.6188049316406,33.46880493164065,2449962,24033,1958-03-24T06:00:00.000000000,12.478031158447266,107.15447235107422,Asia
