city_name,country,city_lat,city_lon,population,max_temp_ctrl,max_temp_ssp,temp_diff,timestamp_ctrl,timestamp_ssp,time_idx_ctrl,time_idx_ssp,cell_idx_ctrl,cell_idx_ssp,lat_ctrl,lon_ctrl,lat_ssp,lon_ssp
Al Ayn,United Arab Emirates,24.2304706,55.7399979,408733,48.26531372070315,54.17049560546877,5.905181884765625,1952-06-13T09:00:00.000000000,2082-06-19T12:00:00.000000000,7154,7203,1765861,1762106,24.217926025390625,55.62765884399414,24.288225173950195,55.78274917602539
Kerkira,Greece,39.615423,19.9147428,38517,35.66045532226565,41.56551513671877,5.905059814453125,1956-08-13T09:00:00.000000000,2089-08-10T09:00:00.000000000,19330,28074,1035479,1035479,39.68365478515625,19.875,39.68365478515625,19.875
Tegal,Indonesia,-6.8695691,109.1199955,237084,35.1898132324219,41.09420166015627,5.904388427734375,1968-10-16T06:00:00.000000000,2082-10-12T06:00:00.000000000,54905,8121,3785595,3790337,-6.924428462982178,109.19898986816406,-6.994727611541748,109.13924407958984
El Agheila,Libya,30.2570278,19.2000061,100,43.0601745605469,48.96453247070315,5.90435791015625,1966-05-27T12:00:00.000000000,2090-06-18T12:00:00.000000000,47923,30571,1460482,1460482,30.193321228027344,19.157894134521484,30.193321228027344,19.157894134521484
Louangphrabang,Laos,19.8845343,102.1416101,107142,40.92763671875002,46.82979736328127,5.90216064453125,1958-04-01T09:00:00.000000000,2083-05-24T06:00:00.000000000,24098,9913,2003096,2003096,19.92970085144043,102.13786315917967,19.92970085144043,102.13786315917967
Kipushi,Congo (Kinshasa),-11.7596065,27.2500057,113347,33.84926757812502,39.75130615234377,5.90203857421875,1953-10-10T12:00:00.000000000,2092-09-30T12:00:00.000000000,11027,37251,4106915,4106914,-11.845342636108398,27.33870887756348,-11.845342636108398,27.25806427001953
Leo,Burkina Faso,11.094003,-2.0979985,26884,40.72719726562502,46.62923583984377,5.90203857421875,1951-04-02T15:00:00.000000000,2091-04-17T15:00:00.000000000,3652,32996,2537938,2537937,11.14235496520996,357.9218444824219,11.14235496520996,357.8419189453125
Sydney,Australia,-33.87137339218338,151.2125477744749,4630000,45.9595886230469,51.86129150390627,5.901702880859375,1962-01-28T03:00:00.000000000,2083-01-19T03:00:00.000000000,35280,8912,5309843,5309843,-33.84885787963867,150.9713592529297,-33.84885787963867,150.9713592529297
Los Andes,Chile,-32.8295866,-70.5999907,56859,35.65764770507815,41.55922851562502,5.901580810546875,1958-12-25T18:00:00.000000000,2091-01-26T18:00:00.000000000,26245,32349,5262466,5262466,-32.794376373291016,289.3642883300781,-32.794376373291016,289.3642883300781
Bafatá,Guinea Bissau,12.1669951,-14.6660146,29704,41.68581542968752,47.58651123046877,5.90069580078125,1951-04-23T15:00:00.000000000,2091-03-02T15:00:00.000000000,3820,32628,2470643,2470643,12.196836471557615,345.3375244140625,12.196836471557615,345.3375244140625
Compostela,Mexico,21.2304212,-104.8999901,16162,32.62825927734377,38.52889404296877,5.900634765625,1957-05-20T18:00:00.000000000,2090-05-03T18:00:00.000000000,21573,30205,1933359,1933359,21.195077896118164,255.1678466796875,21.195077896118164,255.1678466796875
Birao,Central African Republic,10.2836992,22.7833016,10178,41.34462890625002,47.24508056640627,5.90045166015625,1955-03-20T12:00:00.000000000,2083-04-11T12:00:00.000000000,15235,9571,2592613,2588061,10.228470802307127,22.8358211517334,10.2987699508667,22.85588836669922
