city_name,country,city_lat,city_lon,population,max_wind_raw,max_wind,cell_idx,time_idx,timestamp,lat,lon,continent
Ust Kuyga,Russia,70.0170557,135.6000329,1517,14.830184936523438,53.388665771484376,165706,621,2080-03-18T18:00:00.000000000,70.05271911621094,135.625,Europe
Sumter,United States of America,33.9206543,-80.3417216,50868,14.829408645629885,53.38587112426758,1290467,3476,2081-03-10T15:00:00.000000000,33.84885787963867,279.63885498046875,North America
Awjilah,Libya,29.1080282,21.2869071,6610,14.829217910766602,53.38518447875977,1515706,20891,2087-02-24T12:00:00.000000000,29.06854057312012,21.28587913513184,Africa
Ascensión,Mexico,31.1000255,-107.979983,11781,14.827796936035156,53.380068969726565,1418561,35782,2092-03-30T21:00:00.000000000,31.10720443725586,251.9358673095703,North America
Dera Ghazi Khan,Pakistan,30.060399,70.6350577,236093,14.82344913482666,53.36441688537598,1471244,12776,2084-05-16T03:00:00.000000000,29.98242378234864,70.48950958251953,Asia
Fribourg,Switzerland,46.8000001,7.1499965,32827,14.823248863220217,53.36369590759278,762621,379,2080-02-17T12:00:00.000000000,46.854129791259766,7.135922431945801,Europe
Ełk,Poland,53.8337024,22.3499947,55769,14.82103443145752,53.35572395324707,535700,19942,2086-10-28T21:00:00.000000000,53.88400650024414,22.239381790161133,Europe
Dzhankoy,Russia,45.7170402,34.4000085,43879,14.81895351409912,53.34823265075684,802847,32611,2091-02-28T12:00:00.000000000,45.72934722900391,34.495269775390625,Europe
Orangeville,Canada,43.9170726,-80.0833395,32640,14.811345100402832,53.3208423614502,869254,20164,2086-11-25T15:00:00.000000000,43.97187805175781,279.9696655273437,North America
Panevežys,Lithuania,55.7400202,24.3700264,127405,14.804170608520508,53.29501419067383,485205,19943,2086-10-29T00:00:00.000000000,55.64147567749024,24.279918670654297,Europe
Hanggin Houqi,China,40.8846995,107.140013,39954,14.80320644378662,53.29154319763184,987809,21257,2087-04-11T06:00:00.000000000,40.87873458862305,107.1550521850586,Asia
Carbondale,United States of America,37.7268303,-89.2202495,32444,14.802742958068848,53.28987464904785,1119723,15408,2085-04-10T03:00:00.000000000,37.71529006958008,270.8422546386719,North America
Panama City,Panama,8.969963,-79.534983,1281000,14.801682472229004,53.28605690002441,2692452,21053,2087-03-16T18:00:00.000000000,8.752196311950684,280.24139404296875,North America
Rạch Giá,Vietnam,10.0153951,105.0913525,300000,14.801525115966797,53.28549041748047,2611905,18858,2086-06-15T09:00:00.000000000,9.94727611541748,104.96063232421876,Asia
Lutsk,Ukraine,50.7471983,25.3333785,213661,14.800947189331056,53.2834098815918,628437,31466,2090-10-08T09:00:00.000000000,50.86116027832031,25.18716621398925,Europe
Yangon,Myanmar,16.7853,96.1647318,4088000,14.800844192504885,53.28303909301758,2183039,19801,2086-10-11T06:00:00.000000000,16.83655548095703,96.37320709228516,Asia
Lake Havasu City,United States of America,34.4982935,-114.3082789,56133,14.800333976745604,53.28120231628418,1261411,11197,2083-10-31T18:00:00.000000000,34.481544494628906,245.6297302246093,North America
Nukus,Uzbekistan,42.4700033,59.6150069,230006,14.797527313232422,53.27109832763672,926572,26860,2089-03-11T15:00:00.000000000,42.42530822753906,59.73568344116211,Asia
Poitier,France,46.5832923,0.3332765,85960,14.7971773147583,53.26983833312988,770002,32365,2091-01-28T18:00:00.000000000,46.64323425292969,0.2898550629615783,Europe
Mednogorsk,Russia,51.4191211,57.5787487,30676,14.796337127685549,53.26681365966797,613039,26821,2089-03-06T18:00:00.000000000,51.353248596191406,57.671478271484375,Europe
Amursk,Russia,50.2228375,136.8974214,46993,14.795886993408203,53.265193176269534,651769,29513,2090-02-06T06:00:00.000000000,50.15817260742188,136.97023010253906,Europe
Alexandria,United States of America,38.80433790389193,-77.0552053829619,127273,14.79480266571045,53.26128959655762,1069519,20636,2087-01-23T15:00:00.000000000,38.91036987304688,283.0506286621094,North America
Williston,United States of America,48.1567879,-103.6280005,13564,14.792490005493164,53.25296401977539,718070,17418,2085-12-17T09:00:00.000000000,48.18980407714844,256.32720947265625,North America
Bethlehem,South Africa,-28.2195837,28.2999674,83654,14.791214942932127,53.24837379455567,5038853,13518,2084-08-16T21:00:00.000000000,-28.22495460510254,28.233295440673828,Africa
Kilindoni,Tanzania,-7.9162752,39.650024,12409,14.787428855895996,53.23474388122559,3850725,30511,2090-06-11T00:00:00.000000000,-7.908611297607422,39.70136642456055,Africa
Portland,United States of America,45.5219697,-122.6819359,1875000,14.782859802246094,53.21829528808594,804278,17675,2086-01-18T12:00:00.000000000,45.72934722900391,237.63406372070312,North America
Port Maria,Jamaica,18.3770011,-76.8999955,7906,14.781673431396484,53.21402435302735,2094190,640,2080-03-21T03:00:00.000000000,18.38312721252441,283.1084899902344,North America
Brits,South Africa,-25.6296126,27.7799991,122497,14.781665802001951,53.21399688720703,4901681,23964,2088-03-14T15:00:00.000000000,-25.55360221862793,27.85016250610352,Africa
Belgrade,Serbia,44.8205913,20.4660448,1099000,14.77408218383789,53.18669586181641,828292,34692,2091-11-15T15:00:00.000000000,45.02635955810547,20.683229446411133,Europe
Goranboy,Azerbaijan,40.6102778,46.7897222,7333,14.773920059204102,53.18611221313477,998611,910,2080-04-23T21:00:00.000000000,40.597537994384766,46.718528747558594,Asia
Canoas,Brazil,-29.9199967,-51.1799874,600000,14.767234802246094,53.16204528808594,5132048,18901,2086-06-20T18:00:00.000000000,-30.052722930908203,308.75146484375,South America
Kremenchuk,Ukraine,49.0835272,33.4296285,232742,14.766489028930664,53.15936050415039,683456,29102,2089-12-16T21:00:00.000000000,49.17398834228516,33.230770111083984,Europe
Karlsruhe,Germany,48.9999923,8.3999934,377487,14.764389991760254,53.151803970336914,692678,32267,2091-01-16T12:00:00.000000000,48.89279174804688,8.251273155212402,Europe
Denow,Uzbekistan,38.2771584,67.8871635,217274,14.76095199584961,53.139427185058594,1097200,15167,2085-03-11T00:00:00.000000000,38.20738220214844,68.01619720458984,Asia
Xuanhua,China,40.5944072,115.0243379,409745,14.757869720458984,53.12833099365235,999148,12593,2084-04-23T06:00:00.000000000,40.597537994384766,115.07779693603516,Asia
Wrocław,Poland,51.1104319,17.0300093,634893,14.753412246704102,53.11228408813477,617224,32271,2091-01-17T00:00:00.000000000,51.21265411376953,16.834531784057617,Europe
Port-au-Prince,Haiti,18.5429705,-72.3379804,1998000,14.751595497131348,53.10574378967285,2077900,6398,2082-03-10T21:00:00.000000000,18.66432380676269,287.5760498046875,North America
Raton,United States of America,36.8973977,-104.439889,7073,14.741238594055176,53.06845893859863,1155798,8571,2082-12-07T12:00:00.000000000,36.8717041015625,255.55262756347656,North America
Parry Sound,Canada,45.3337044,-80.0330066,7105,14.740910530090332,53.0672779083252,819871,20165,2086-11-25T18:00:00.000000000,45.30755615234375,279.984375,North America
Santa Barbara,Mexico,26.8004429,-105.8200373,10800,14.739306449890137,53.0615032196045,1631523,30013,2090-04-09T18:00:00.000000000,26.818979263305664,254.2524871826172,North America
